timestamp,msg_type,scan_index,dist_or_yaw,pulse_L_or_ax,pulse_R_or_ay,az,gz
12:52:03.420,STEP,1,10.3,0.094,-0.013,0.889,-1.68
12:52:04.165,S,1,0.0,74.3,119.7,,
12:52:04.292,S,1,2.0,74.7,119.7,,
12:52:04.355,S,1,4.0,74.7,119.7,,
12:52:04.481,S,1,6.0,75.1,119.2,,
12:52:04.604,S,1,8.0,74.7,120.1,,
12:52:04.732,S,1,10.0,75.1,120.1,,
12:52:04.858,S,1,12.0,74.7,121.0,,
12:52:04.920,S,1,14.0,74.8,120.1,,
12:52:05.046,S,1,16.0,75.6,120.6,,
12:52:05.172,S,1,18.0,74.8,119.7,,
12:52:05.292,S,1,20.0,75.7,120.1,,
12:52:05.420,S,1,22.0,76.1,120.6,,
12:52:05.548,S,1,24.0,75.7,120.2,,
12:52:05.628,S,1,26.0,75.4,120.3,,
12:52:05.756,S,1,28.0,75.8,120.3,,
12:52:05.882,S,1,30.0,76.3,120.7,,
12:52:05.996,S,1,32.0,77.1,122.9,,
12:52:06.124,S,1,34.0,78.0,123.8,,
12:52:06.188,S,1,36.0,80.9,127.4,,
12:52:06.306,S,1,38.0,96.2,127.9,,
12:52:06.431,S,1,40.0,112.7,127.4,,
12:52:06.572,S,1,42.0,100.0,126.2,,
12:52:06.700,S,1,44.0,100.4,127.1,,
12:52:06.828,S,1,46.0,101.7,127.6,,
12:52:06.946,S,1,48.0,105.0,124.1,,
12:52:07.072,S,1,50.0,96.8,128.5,,
12:52:07.196,S,1,52.0,97.3,126.9,,
12:52:07.261,S,1,54.0,94.7,43.0,,
12:52:07.389,S,1,56.0,94.3,42.6,,
12:52:07.451,S,1,58.0,99.7,41.7,,
12:52:07.577,S,1,60.0,95.1,41.2,,
12:52:07.704,S,1,62.0,96.0,41.2,,
12:52:07.766,S,1,64.0,97.9,40.8,,
12:52:07.884,S,1,66.0,98.3,40.7,,
12:52:08.011,S,1,68.0,97.1,40.7,,
12:52:08.076,S,1,70.0,90.8,40.3,,
12:52:08.204,S,1,72.0,95.8,40.3,,
12:52:08.332,S,1,74.0,90.8,40.7,,
12:52:08.459,S,1,76.0,92.9,40.2,,
12:52:08.508,S,1,78.0,96.2,40.2,,
12:52:08.636,S,1,80.0,91.6,40.2,,
12:52:08.700,S,1,82.0,89.5,40.2,,
12:52:08.821,S,1,84.0,85.3,39.8,,
12:52:08.946,S,1,86.0,90.3,40.2,,
12:52:09.009,S,1,88.0,92.5,40.2,,
12:52:09.134,S,1,90.0,90.8,40.2,,
12:52:09.260,S,1,92.0,90.8,40.2,,
12:52:09.324,S,1,94.0,90.0,40.2,,
12:52:09.446,S,1,96.0,89.6,40.2,,
12:52:09.574,S,1,98.0,53.6,40.2,,
12:52:09.637,S,1,100.0,52.8,40.7,,
12:52:09.763,S,1,102.0,53.2,40.7,,
12:52:09.827,S,1,104.0,52.3,40.7,,
12:52:09.948,S,1,106.0,52.7,40.7,,
12:52:10.012,S,1,108.0,52.7,41.2,,
12:52:10.141,S,1,110.0,52.7,41.2,,
12:52:10.204,S,1,112.0,51.8,42.1,,
12:52:10.329,S,1,114.0,51.8,42.5,,
12:52:10.392,S,1,116.0,51.8,43.4,,
12:52:10.509,S,1,118.0,51.8,43.8,,
12:52:10.636,S,1,120.0,51.8,81.1,,
12:52:10.700,S,1,122.0,52.3,80.7,,
12:52:10.828,S,1,124.0,52.3,80.7,,
12:52:10.955,S,1,126.0,51.9,118.3,,
12:52:11.020,S,1,128.0,52.8,119.0,,
